city,x,y
1,3649,749
2,5706,951
3,3022,4814
4,515,-356
5,3.459000e+03,-10637
6,5712,-212
7,1645,-9945
8,536,-10
9,2856,-1336
10,859,3.848000e+03
11,1250,4502
12,-3.448000e+03,13838
13,3023,-933
14,5618,1251
15,3640,-430
16,4.038000e+03,817
17,3511,-350
18,4155,848
19,-3701,17447
20,3817,-34
21,3642,313
22,3611,3714
23,3514,-10142
24,3158,3.559000e+03
25,5218,446
26,6110,-14959
27,3957,3.241000e+03
28,5111,428
29,1.708000e+03,-6147
30,4337,1322
31,2938,3501
32,5939,1755
33,1518,3.855000e+03
34,-2514,-5731
35,2358,3247
36,3754,2344
37,3346,-8431
38,1230,-7.001000e+03
39,2426,5428
40,3.655000e+03,3048
41,2616,5038
42,4029,5001
43,3911,-7.640000e+03
44,1048,-7452
45,-1611,-5230
46,1025,4501
47,4118,2.050000e+02
48,3222,-6442
49,4156,-7241
50,4039,1757
51,4449,2.019000e+03
52,9.210000e+02,3431
53,3206,2016
54,5229,1324
55,4827,-425
56,-1948,345
57,3349,3529
58,5439,-614
59,3.548000e+03,-10122
60,424,1.831000e+03
61,1304,-5930
62,6017,513
63,4448,-6850
64,3314,4414
65,4540,924
66,3.334000e+03,-8645
67,5227,-145
68,4233,9.290000e+02
69,4548,-10837
70,4328,-132
71,1321,-1.640000e+03
72,-319,2919
73,1355,10036
74,1238,-802
75,5544,909
76,4432,1118
77,1257,7.740000e+03
78,-1541,3458
79,2713,5622
80,-2725,1.530500e+04
81,4450,-43
82,442,-7409
83,5047,-151
84,1905,7252
85,6716,1422
86,4222,-7100
87,5303,848
88,4108,1647
89,4655,730
90,5131,-235
91,5054,429
92,-1552,-4755
93,4735,732
94,4810,1613
95,4727,1.915000e+03
96,-3449,-5832
97,4255,-7838
98,4430,2606
99,4927,2.070000e+02
100,-4.150000e+02,1515
101,3915,9.040000e+02
102,3008,3124
103,2311,11316
104,3333,-740
105,-1154,2245
106,449,-5222
107,5213,11
108,-3519,14912
109,1036,-6659
110,2239,8827
111,5250,-119
112,4901,233
113,4333,657
114,4540,-19
115,3.937000e+03,1955
116,5052,709
117,4159,-8754
118,4148,1236
119,934,-1337
120,4125,-8.151000e+03
121,326,-7625
122,4231,848
123,-2802,14537
124,711,7953
125,4004,-8304
126,3322,-735
127,4807,722
128,4422,2829
129,4540,-19
130,621,223
131,5537,1239
132,-3358,1836
133,3728,1504
134,1027,-7531
135,-2625,1.461400e+04
136,3900,1705
137,1212,-6.857000e+03
138,3.909000e+03,-8420
139,3903,-8420
140,5124,-312
141,2911,-8103
142,2346,9023
143,1445,4259
144,3250,-9651
145,3325,3631
146,-653,3.912000e+03
147,4234,1816
148,-2958,3057
149,3851,-7702
150,2834,7.707000e+03
151,3946,-10453
152,3246,-9624
153,2616,5010
154,4716,505
155,3.352000e+03,1047
156,1445,-1730
157,401,943
158,1.908000e+03,3026
159,2516,5134
160,4922,10
161,-8.450000e+02,11510
162,5108,1346
163,-1225,1.305200e+04
164,4214,-8332
165,4213,-8321
166,5326,-615
167,5117,645
168,2515,5520
169,3,3226
170,4532,418
171,5557,-322
172,5127,523
173,3148,-10616
174,5250,-119
175,4819,604
176,4007,3300
177,4.009000e+03,8240
178,4042,-7.410000e+03
179,5044,-325
180,-3449,-5832
181,6.449000e+03,-14751
182,3701,-758
183,-1135,2731
184,5954,1037
185,4149,1215
186,1435,-6100
187,3356,4580
188,-4.230000e+02,1526
189,4349,1112
190,8.370000e+02,-1312
191,4126,1532
192,5002,834
193,4412,1204
194,-2113,2729
195,2827,-1352
196,5329,-100
197,-1927,2952
198,5423,1828
199,6012,1105
200,2457,1010
201,-2250,-4315
202,5552,-426
203,4522,520
204,709,4143
205,4425,850
206,5740,1818
207,4154,246
208,3711,-347
209,4700,1526
210,5109,-11
211,1434,-9032
212,4614,607
213,-209,-7953
214,5228,942
215,5338,1000
216,6019,2458
217,3.520000e+03,2511
218,3020,12051
219,2219,11412
220,3140,609
221,3533,13946
222,2120,-1.575500e+04
223,2959,-9528
