city,x,y
1,2.455528e+05,8.178278e+05
2,2.471333e+05,8.109056e+05
3,2.472056e+05,8.101889e+05
4,2.492389e+05,8.062806e+05
5,2.501111e+05,8.051528e+05
6,254475,8.047944e+05
7,2.546833e+05,8.047778e+05
8,254950,8.042944e+05
9,2.556222e+05,803825
10,2.558028e+05,8.034694e+05
11,2.559722e+05,8.038083e+05
12,2.560472e+05,8.035389e+05
13,2.561472e+05,8.031083e+05
14,2.563111e+05,8.036917e+05
15,2.567889e+05,803175
16,2.569333e+05,8.016306e+05
17,2.570722e+05,8.029361e+05
18,2.570722e+05,8.032583e+05
19,2.572111e+05,8.026861e+05
20,2.572639e+05,8.035556e+05
21,2.575444e+05,803275
22,2.576306e+05,8.029639e+05
23,2.577389e+05,8.019389e+05
24,2.579028e+05,8.013028e+05
25,258100,803025
26,2.582194e+05,8.028972e+05
27,2.584028e+05,8.032667e+05
28,2.584583e+05,8.015417e+05
29,258550,8.019333e+05
30,2.585722e+05,8.027833e+05
31,2.586278e+05,8.019306e+05
32,2.586472e+05,8.032472e+05
33,2.587028e+05,8.029917e+05
34,2.587806e+05,8.012583e+05
35,2.588222e+05,8.018083e+05
36,2.588722e+05,8.013139e+05
37,2.588972e+05,8.018694e+05
38,2.589139e+05,8.012722e+05
39,2.590139e+05,9.749722e+05
40,2.590194e+05,8.025056e+05
41,2.593056e+05,8.032861e+05
42,2.593278e+05,8.016278e+05
43,2.594028e+05,8.024583e+05
44,2.594806e+05,8.015083e+05
45,2.595028e+05,8.012306e+05
46,2.596194e+05,8.017694e+05
47,2.596472e+05,801225
48,2.596472e+05,8.024167e+05
49,2.597222e+05,8.172917e+05
50,2.598083e+05,8.014861e+05
51,2.598694e+05,802325
52,259875,801750
53,2.600278e+05,8.022417e+05
54,2.601083e+05,8.014972e+05
55,2.605194e+05,8.014417e+05
56,2.605694e+05,8.027194e+05
57,2.606444e+05,8.023222e+05
58,2.607139e+05,9.747611e+05
59,2.607306e+05,9.720833e+05
60,2.608833e+05,8.172639e+05
61,2.609194e+05,9.795694e+05
62,261000,9.826278e+05
63,2.610056e+05,972900
64,2.610333e+05,9.716444e+05
65,2.612194e+05,8.014361e+05
66,2.612722e+05,8.023333e+05
67,2.613222e+05,9.763083e+05
68,261400,8.021361e+05
69,2.614167e+05,817950
70,2.614944e+05,9.791333e+05
71,2.615861e+05,9.782361e+05
72,2.615917e+05,9.799056e+05
73,261600,8.013917e+05
74,2.616611e+05,8.020861e+05
75,261700,9.805167e+05
