算例city144	已知最优解为30056						算法	最差解	最好解	平均最短距离	误差	执行时间
算法	最短距离	误差	执行时间				som_TSP	34572.59446	32650.53867	33346.90748		30.87092006
	32885.65131		30.2027				som1圆环	32732.69154	31127.57966	31868.66217		30.48415089
	33663.3987		29.3561				som2密度点	32417.69603	30879.73861	31765.09968		30.56534648
	33110.72122		30.9096				som3 圆环+ 渗透	32062.79971	31269.31884	31672.39175		29.9046627
som	33440.21032		30.4917748				som3 密度点+ 渗透	32004.42068	31031.10727	31583.96609		30.82411268
	32817.12364		32.46343875				SA	32009.1362	31001.30716	31285.8313		8.395568455
	34572.59446		31.36741424									
	33635.0215		31.18490529									
	32650.53867		30.99142742									
计算	34572.59446											
	32650.53867											
												
												
som1	31254.30707		33.43503976									
	32732.69154		31.37757468									
	32310.0455		31.59795332									
	32355.13497		32.06672072									
	31749.6898		31.04923034									
	31945.34867		32.02283907									
	31127.57966		26.90360975									
	31382.21482		27.68848157									
	32033.69956		27.28558445									
	31795.91011		31.4144752									
计算												
som2密度点	31799.91747		30.14586687									
	32417.69603		33.35126376									
	31700.79814		29.68713236									
	31493.31484		29.24531174									
	31956.34098		30.57773089									
	32155.44143		30.46571545									
	32065.88506		30.35931396									
	31449.97005		30.213799									
	30879.73861		30.97375417									
	31731.89418		30.63357663									
计算												
som3  渗透	31286.21457		31.54485194									
	31769.64812		31.64485192									
	31862.9807		30.83702922									
	32129.61821											
	30879.73861											
												
												
												
												
												
												
												
												
som3 圆环+ 渗透	31269.31884		29.99828553									
	31750.05561		27.02329063									
	31650.40276		30.43511057									
	31534.96544		31.16215396									
	31963.41488		29.26027179									
	31834.62747		29.26027179									
	32062.79971		29.26027179									
	31681.94188		32.83764553									
	31657.19745		29.9046627									
	31672.39175		30.16215396									
计算												
												
som3 密度点+渗透	31436.45531		30.18179226									
	31999.38781		30.18179226									
	31440.52206		25.4126246									
	31765.95963		25.96813011									
	31943.46052		32.75287533									
	31031.10727		30.81389713									
	31544.63541		29.48411536									
	31188.61738		30.04471064									
	32004.42068		30.45952702									
	31698.14065		29.30624771									
	31370.92025		44.45952702									
计算												
SA模拟退火	31020.0132		8.240455									
	31162.69595		8.34795									
	31166.71382		8.329224									
	31483.94995		8.276579									
	31001.30716		8.29901									
	31292.59925		8.938635									
	32009.1362		8.528114									
	31105.0351		8.590395									
	31211.44418		8.301522									
	31390.74862		8.270556									
	31300.5009		8.228813									
	31285.8313		8.395568455									
计算												
